name,x,y
Merkourios,24.1717,38.56
Metochi,23.9602,38.6539
Liani Ammos,24.1814,38.3937
Camp,24.2049,38.3812
Kokkino Limanaki,24.0001,38.0335
Pili,23.5912,38.7686
Rafina,24.015,38.018
Davis Beach,24.0104,37.9548
Erotospilia,24.033,37.8935
Agios Dimitrios Beach,23.8666,37.8007
Sounio Beach,24.0242,37.6541
Agios DImitrios,23.8571,37.8021
Varkiza Beach,23.8082,37.819
Vouliagmeni,23.777,37.812
Faliro Reef,23.6908,37.9243
Votsalakia Beach,23.6551,37.9357
Limani Pasa Beach,24.054,37.678
Kolimpithra (Tinos),25.142,37.631
Leivada (Tinos),25.238,37.61
Abrami Beach (Naxos),25.48,37.174
Livadia Beach,25.0454,37.0211
Plakoto (Ios),25.29,36.786
Apollonas (Naxos),25.553,37.18
Armenistis (Ikiria),26.091,37.631
Mircos Point (Rhodes),28.021,36.384
Acropolis (Rhodes),28.087,36.097
Zakros,26.2635,35.0973
Petras,26.1229,35.1994
Xerokampos,26.2189,35.0353
Makry Gialos,25.9779,35.0393
Kakos Bay,25.8435,35.0138
Voulisma,25.7444,35.1264
Almiros,25.7102,35.1766
Stalida Beach (Crete),25.429,35.295
Stalibu,25.4247,35.2969
Konaki Beach,25.2505,35.332
Arina Beach,25.2377,35.3321
Fodele Beach,24.9546,35.4022
Skaleta,24.6098,35.3931
Preveli (Crete),24.478,35.152
Trypiti,24.1236,34.8038
Kokkinos Pyrgos,24.7398,35.0798
Komos Beach,24.7577,35.0092
Keratokampos,25.3783,34.9984
Korfos Beach,24.1117,34.8306
Sarakiniko,24.1102,34.8601
Potamos,24.0608,34.8591
Agios Paulos,24.0005,35.22
Palaiochora,23.6773,35.2324
Kountoura Beach,23.6232,35.2319
Afrotolaki,23.5511,35.3965
Sfinari,23.5659,35.4217
Falasarna Reef,23.5638,35.4776
Falasarna,23.58,35.4925
Mavros Molos,23.6486,35.5002
Kissamos,23.6581,35.5009
Telonio Beach,23.6676,35.4992
Platanias,23.9134,35.5217
Strofi,23.9452,35.5157
Hrissi Akti,23.9889,35.5119
Kalyves,24.178,35.4522
Koral,27.7886,42.219
Erikli,28.056,41.883
Kastro,28.104,41.63
Karaburun,28.689,41.342
Suma Beach,29.005,41.248
Kilyos,29.033,41.247
Demirciköy,29.0652,41.2507
Rumeli Feneri,29.1149,41.2347
Riva Gelara,29.2571,41.2308
Sofular Plaji,29.5019,41.1859
Şile Merkez,29.626,41.1749
Şile Resort,29.6336,41.1724
Woodyville,29.73,41.157
Sarisu,30.151,41.14
Erba,30.195,41.152
Kumcagiz,30.22,41.16
Babalı Surf Beach,30.3434,41.1913
Koseagzi Plaji,31.4667,41.3283
İliksu Plaji,31.6826,41.4085
Bockoi Plaji,32.4827,41.7811
Göçkündemirci Koyu Plaji,32.5436,41.8069
Karaman Koyu Plaji,32.62,41.829
Hisarköy,32.6659,41.8297
Zeus Temple,32.7544,41.848
Rivermouth Jetties,32.9776,41.8944
Yali Restaurant,33.2042,41.9743
Kayran Yali,33.5308,42.0007
Haciveli Sağ,34.0459,41.9814
Haciveli Sol,34.0472,41.9816
Ginolu Kalesi,34.1629,41.9665
Hardi,34.194,41.9579
Oymayaka,34.279,41.9469
Turkeli,34.329,41.9452
Hotel Turistik,34.3388,41.9513
Oluza River,34.6938,41.9471
Boat Shed,34.9242,42.0443
Farmland,34.9494,42.0761
Sinop Beach,35.0459,42.041
Kalesi Plaji,35.1418,42.0264
Sarimsak Cayi,35.16,41.8347
Gerze,35.1738,41.8189
Samsun Center,36.1669,41.4306
Atakent,36.2193,41.3813
Unye Center,37.2692,41.145
Vona Beach Break,37.7069,41.1138
The Cliff Break,37.7763,41.113
Uncle Kepa's River,37.8321,41.021
The Jetty,37.8466,41.0182
Ordu Center Beach,37.9398,40.9839
BNZ River,41.6804,41.6666
Bomby,41.5596,41.5445
Single Fin,41.5765,42.3817
